Sport,Team,City,ESPNRating,2014Salary,2014PO,2014HF,2015Salary,2015PO,2015HF,2016Salary,2016PO,2016HF,2017Salary,2017PO,2017HF,2018Salary,2018PO,2018HF,Market
NHL,Golden Knights,Las Vegas,5,0,0,0,0,0,0,0,0,0,8,1,4,5,1,1,583756
MLB,Dodgers,Los Angeles,4,1,1,2,1,1,2,1,1,3,1,1,4,3,1,4,3792621
NBA,Knicks,New York,1,5,0,0,25,0,0,1,0,0,5,0,0,1,1,1,8622698
NFL,Bears,Chicago,3,12,0,0,16,0,0,1,0,0,11,0,0,1,1,1,2695598
NHL,Senators,Ottawa,2,29,1,1,22,0,0,1,1,3,30,0,0,29,0,0,934243
MLB,Yankees,New York,5,2,0,0,2,1,1,2,0,0,3,1,3,6,1,2,8622698
NBA,Heat,Miami,3,9,0,0,9,1,2,2,0,0,4,1,1,2,0,0,399457
NFL,Eagles,Philadelphia,4,11,0,0,22,0,0,2,0,0,12,1,5,24,1,2,1580863
NHL,Kings,Los Angeles,4,13,0,0,5,1,1,2,0,0,15,1,1,10,0,0,3792621
MLB,RedSox,Boston,5,6,0,0,4,0,0,3,1,2,2,1,2,1,1,5,617594
NBA,Grizzlies,Memphis,4,12,1,2,1,1,1,3,0,0,6,0,0,3,0,0,646889
NFL,Jets,New York,1,32,0,0,11,0,0,3,0,0,32,0,0,17,0,0,8622698
NHL,Wild,Minnesota,4,14,1,2,9,1,1,3,1,1,5,1,1,16,0,0,382578
MLB,Tigers,Detroit,2,4,1,2,6,0,0,4,0,0,5,0,0,17,0,0,713777
NBA,Cavaliers,Cleveland,4,3,1,4,2,1,5,4,1,4,8,1,4,4,0,0,396698
NFL,Chargers,Los Angeles,1,22,0,0,2,0,0,4,0,0,22,0,0,27,1,2,3792621
NHL,Bruins,Boston,4,3,0,0,8,0,0,4,1,1,6,1,2,6,1,4,617594
MLB,Cubs,Chicago,5,22,0,0,11,1,3,5,1,5,9,1,3,4,0,0,2695598
NBA,TrailBlazers,Portland,4,17,1,1,30,1,2,5,1,1,11,1,1,5,1,3,583776
NFL,Chiefs,Kansas City,4,15,0,0,31,1,2,5,1,2,23,1,1,18,1,3,2159159
NHL,Flyers,Philadelphia,3,1,0,0,13,1,1,5,0,0,3,1,1,26,0,0,1580863
MLB,Giants,San Francisco,3,5,1,5,3,0,0,6,1,2,4,0,0,2,0,0,884363
NBA,Spurs,San Antonio,5,19,1,1,12,1,2,6,1,3,9,1,1,6,1,1,1511946
NFL,Jaguars,Jacksonville,4,31,0,0,21,0,0,6,0,0,6,1,3,3,0,0,821784
